Bucket,Bucket_Range,Count,Probability (%)
-60,"[-6000, -5900)",2,0.0725163161711385
-59,"[-5900, -5800)",1,0.03625815808556925
-58,"[-5800, -5700)",3,0.10877447425670776
-57,"[-5700, -5600)",1,0.03625815808556925
-55,"[-5500, -5400)",1,0.03625815808556925
-51,"[-5100, -5000)",1,0.03625815808556925
-50,"[-5000, -4900)",1,0.03625815808556925
-49,"[-4900, -4800)",1,0.03625815808556925
-43,"[-4300, -4200)",1,0.03625815808556925
-41,"[-4100, -4000)",1,0.03625815808556925
-36,"[-3600, -3500)",1,0.03625815808556925
-35,"[-3500, -3400)",1,0.03625815808556925
-34,"[-3400, -3300)",1,0.03625815808556925
-32,"[-3200, -3100)",1,0.03625815808556925
-31,"[-3100, -3000)",3,0.10877447425670776
-30,"[-3000, -2900)",2,0.0725163161711385
-29,"[-2900, -2800)",3,0.10877447425670776
-27,"[-2700, -2600)",1,0.03625815808556925
-26,"[-2600, -2500)",5,0.18129079042784627
-25,"[-2500, -2400)",2,0.0725163161711385
-24,"[-2400, -2300)",3,0.10877447425670776
-23,"[-2300, -2200)",2,0.0725163161711385
-22,"[-2200, -2100)",4,0.145032632342277
-21,"[-2100, -2000)",4,0.145032632342277
-20,"[-2000, -1900)",7,0.25380710659898476
-19,"[-1900, -1800)",3,0.10877447425670776
-18,"[-1800, -1700)",1,0.03625815808556925
-17,"[-1700, -1600)",1,0.03625815808556925
-16,"[-1600, -1500)",3,0.10877447425670776
-15,"[-1500, -1400)",4,0.145032632342277
-14,"[-1400, -1300)",3,0.10877447425670776
-13,"[-1300, -1200)",7,0.25380710659898476
-12,"[-1200, -1100)",10,0.36258158085569253
-11,"[-1100, -1000)",14,0.5076142131979695
-10,"[-1000, -900)",35,1.2690355329949239
-9,"[-900, -800)",22,0.7976794778825236
-8,"[-800, -700)",48,1.7403915881073242
-7,"[-700, -600)",67,2.4292965917331397
-6,"[-600, -500)",79,2.864394488759971
-5,"[-500, -400)",124,4.496011602610587
-4,"[-400, -300)",175,6.345177664974619
-3,"[-300, -200)",220,7.976794778825235
-2,"[-200, -100)",272,9.862218999274837
-1,"[-100, 0)",245,8.883248730964468
0,"[0, 100)",223,8.085569253081944
1,"[100, 200)",237,8.593183466279914
2,"[200, 300)",203,7.3604060913705585
3,"[300, 400)",165,5.982596084118927
4,"[400, 500)",136,4.931109499637419
5,"[500, 600)",88,3.1907179115300943
6,"[600, 700)",76,2.755620014503263
7,"[700, 800)",45,1.6316171138506161
8,"[800, 900)",30,1.0877447425670776
9,"[900, 1000)",27,0.9789702683103698
10,"[1000, 1100)",21,0.7614213197969544
11,"[1100, 1200)",21,0.7614213197969544
12,"[1200, 1300)",13,0.47135605511240025
13,"[1300, 1400)",17,0.6163886874546773
14,"[1400, 1500)",16,0.580130529369108
15,"[1500, 1600)",7,0.25380710659898476
16,"[1600, 1700)",9,0.3263234227701233
17,"[1700, 1800)",5,0.18129079042784627
18,"[1800, 1900)",2,0.0725163161711385
19,"[1900, 2000)",2,0.0725163161711385
20,"[2000, 2100)",4,0.145032632342277
21,"[2100, 2200)",3,0.10877447425670776
22,"[2200, 2300)",2,0.0725163161711385
26,"[2600, 2700)",1,0.03625815808556925
27,"[2700, 2800)",3,0.10877447425670776
28,"[2800, 2900)",2,0.0725163161711385
29,"[2900, 3000)",2,0.0725163161711385
34,"[3400, 3500)",3,0.10877447425670776
35,"[3500, 3600)",1,0.03625815808556925
36,"[3600, 3700)",1,0.03625815808556925
37,"[3700, 3800)",1,0.03625815808556925
38,"[3800, 3900)",2,0.0725163161711385
40,"[4000, 4100)",1,0.03625815808556925
42,"[4200, 4300)",1,0.03625815808556925
43,"[4300, 4400)",1,0.03625815808556925
44,"[4400, 4500)",1,0.03625815808556925
