ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price
HO2603,C,2250,14,48,0,725.8,-6.4,730.0,1,744.0,1,2985.345
HO2603,C,2300,14,49,0,666.0,-16.2,680.6,1,694.0,1,2985.345
HO2603,C,2350,14,39,0,615.4,-17.0,630.6,1,643.4,1,2985.345
HO2603,C,2400,14,34,0,581.4,-1.0,581.0,1,593.2,1,2985.345
HO2603,C,2450,14,57,0,488.8,-43.6,531.2,1,542.4,1,2985.345
HO2603,C,2500,14,97,0,486.2,4.0,481.8,1,491.2,1,2985.345
HO2603,C,2600,14,75,14,383.2,0.6,382.6,1,391.2,1,2985.345
HO2603,C,2650,14,10,4,337.0,4.0,333.2,1,341.2,1,2985.345
HO2603,C,2700,14,132,17,284.0,0.8,283.8,1,290.0,1,2985.345
HO2603,C,2750,14,128,6,238.6,5.0,234.8,1,238.6,1,2985.345
HO2603,C,2800,14,881,65,185.4,0.8,186.0,1,189.4,1,2985.345
HO2603,C,2850,14,268,89,138.4,1.8,137.0,1,138.4,1,2985.345
HO2603,C,2900,14,1212,887,92.4,2.0,90.2,1,92.4,4,2985.345
HO2603,C,2950,14,2483,2570,47.8,-1.6,47.4,1,48.6,1,2985.345
HO2603,C,3000,14,5028,2958,19.2,-0.4,19.2,3,19.4,6,2985.345
HO2603,C,3050,14,4651,1140,7.0,0.0,7.0,26,7.2,14,2985.345
HO2603,C,3100,14,4546,521,3.2,0.2,3.0,23,3.2,2,2985.345
HO2603,C,3150,14,2554,361,2.0,0.2,1.8,19,2.0,2,2985.345
HO2603,C,3200,14,2676,271,1.6,0.2,1.4,28,1.6,18,2985.345
HO2603,C,3250,14,699,115,1.0,0.0,1.0,4,1.2,21,2985.345
HO2603,C,3300,14,1149,112,1.0,0.2,0.8,2,1.0,15,2985.345
HO2603,C,3350,14,553,76,0.8,0.0,0.8,22,1.0,16,2985.345
HO2603,C,3400,14,885,141,1.0,0.2,0.8,46,1.0,33,2985.345
HO2603,C,3450,14,569,111,0.8,0.0,0.6,6,0.8,6,2985.345
HO2603,C,3500,14,1157,51,0.8,0.2,0.6,17,0.8,8,2985.345
HO2603,P,2250,14,489,23,0.4,0.0,0.2,37,0.4,40,2985.345
HO2603,P,2300,14,297,18,0.6,0.0,0.4,17,0.6,11,2985.345
HO2603,P,2350,14,141,4,0.4,0.0,0.2,17,0.4,9,2985.345
HO2603,P,2400,14,163,34,0.6,0.2,0.4,47,0.6,10,2985.345
HO2603,P,2450,14,108,23,0.4,0.0,0.4,12,0.6,12,2985.345
HO2603,P,2500,14,172,0,0.4,0.0,0.4,3,0.6,4,2985.345
HO2603,P,2600,14,220,12,0.6,0.0,0.6,1,0.8,16,2985.345
HO2603,P,2650,14,53,23,0.8,0.2,0.6,5,0.8,5,2985.345
HO2603,P,2700,14,424,2,1.0,0.2,1.0,1,1.2,7,2985.345
HO2603,P,2750,14,422,87,1.4,0.0,1.4,2,1.6,4,2985.345
HO2603,P,2800,14,772,75,2.0,0.0,2.0,3,2.2,4,2985.345
HO2603,P,2850,14,1345,209,3.2,-0.4,3.2,2,3.4,2,2985.345
HO2603,P,2900,14,2307,610,6.4,-1.0,6.2,13,6.4,3,2985.345
HO2603,P,2950,14,2725,1254,13.6,-2.6,13.6,5,14.0,2,2985.345
HO2603,P,3000,14,3005,1412,33.6,-2.8,33.6,1,34.4,1,2985.345
HO2603,P,3050,14,2189,590,73.8,-0.4,71.2,1,73.0,1,2985.345
HO2603,P,3100,14,1621,370,120.0,0.8,115.2,3,118.8,1,2985.345
HO2603,P,3150,14,579,16,168.6,-0.2,164.0,1,168.0,1,2985.345
HO2603,P,3200,14,647,18,218.0,-0.4,213.6,1,218.0,1,2985.345
HO2603,P,3250,14,112,10,265.6,-2.6,260.2,1,267.8,1,2985.345
HO2603,P,3300,14,155,6,314.0,-3.8,310.2,1,317.6,1,2985.345
HO2603,P,3350,14,58,4,365.2,-2.6,360.0,1,368.0,1,2985.345
HO2603,P,3400,14,112,2,417.0,-0.8,409.8,1,418.0,1,2985.345
HO2603,P,3450,14,68,2,464.0,-3.8,459.4,1,468.6,1,2985.345
HO2603,P,3500,14,46,0,541.2,23.8,509.0,1,518.6,1,2985.345
