ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
HO2612,C,2500,242,35,25,409.4,6.8,397.4,1,416.0,1,2933.653,2867.6
HO2612,C,2600,242,34,31,324.4,-2.2,319.4,1,338.8,1,2933.653,2867.6
HO2612,C,2700,242,183,1,266.4,2.4,255.6,1,269.2,1,2933.653,2867.6
HO2612,C,2800,242,268,4,209.0,1.6,203.6,1,214.2,1,2933.653,2867.6
HO2612,C,2900,242,446,57,163.6,-0.8,160.6,1,171.4,2,2933.653,2867.6
HO2612,C,3000,242,2133,112,134.0,2.6,130.0,1,134.0,32,2933.653,2867.6
HO2612,C,3100,242,926,166,106.2,1.2,103.6,1,110.2,2,2933.653,2867.6
HO2612,C,3200,242,368,67,85.4,1.2,84.0,2,90.0,2,2933.653,2867.6
HO2612,C,3300,242,312,18,73.6,4.4,68.6,1,75.2,3,2933.653,2867.6
HO2612,C,3400,242,273,16,58.0,1.8,55.8,2,62.0,1,2933.653,2867.6
HO2612,C,3500,242,444,106,47.6,1.6,48.0,1,50.0,1,2933.653,2867.6
HO2612,P,2500,242,652,185,30.4,-0.2,28.8,1,30.8,1,2933.653,2867.6
HO2612,P,2600,242,340,24,51.6,-1.2,50.0,1,51.6,1,2933.653,2867.6
HO2612,P,2700,242,702,13,83.0,-2.6,81.0,1,84.6,1,2933.653,2867.6
HO2612,P,2800,242,471,14,127.6,-3.0,122.0,1,124.8,1,2933.653,2867.6
HO2612,P,2900,242,563,53,179.8,-3.2,176.6,1,186.6,1,2933.653,2867.6
HO2612,P,3000,242,306,77,254.4,4.8,243.6,1,253.0,1,2933.653,2867.6
HO2612,P,3100,242,213,70,326.0,4.0,312.2,1,330.6,1,2933.653,2867.6
HO2612,P,3200,242,227,38,401.6,-0.8,390.0,1,408.8,1,2933.653,2867.6
HO2612,P,3300,242,135,13,477.4,-7.8,472.6,1,491.6,1,2933.653,2867.6
HO2612,P,3400,242,102,4,563.8,-68.0,553.2,1,583.4,1,2933.653,2867.6
HO2612,P,3500,242,48,15,652.4,-72.6,642.0,1,672.2,1,2933.653,2867.6
