ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
IO2612,C,3900,203,202,40,841.8,-7.6,823.6,1,858.4,1,4892.121,4691.8
IO2612,C,4000,203,122,23,760.0,-3.0,736.4,1,772.8,1,4892.121,4691.8
IO2612,C,4100,203,225,41,664.6,-15.2,652.6,1,690.2,1,4892.121,4691.8
IO2612,C,4200,203,174,1,592.2,-8.6,572.2,1,610.8,1,4892.121,4691.8
IO2612,C,4300,203,251,17,541.0,14.2,510.0,1,525.2,1,4892.121,4691.8
IO2612,C,4400,203,366,0,456.6,0.6,439.4,1,456.0,1,4892.121,4691.8
IO2612,C,4500,203,846,64,383.4,-11.0,376.4,1,394.4,1,4892.121,4691.8
IO2612,C,4600,203,568,146,329.0,-7.4,319.8,1,338.8,1,4892.121,4691.8
IO2612,C,4700,203,613,23,275.0,-8.8,269.8,1,289.8,2,4892.121,4691.8
IO2612,C,4800,203,466,81,231.8,-8.8,231.4,1,241.6,1,4892.121,4691.8
IO2612,C,4900,203,298,77,201.8,-2.8,194.4,1,205.2,1,4892.121,4691.8
IO2612,C,5000,203,518,101,169.2,-5.6,163.2,3,174.8,1,4892.121,4691.8
IO2612,C,5200,203,715,72,122.8,-3.4,116.2,1,128.0,1,4892.121,4691.8
IO2612,C,5400,203,1228,133,90.0,-4.8,87.4,1,93.0,1,4892.121,4691.8
IO2612,C,5600,203,377,78,67.2,-1.4,66.4,1,68.8,1,4892.121,4691.8
IO2612,P,3900,203,758,33,40.4,2.8,39.2,1,41.4,1,4892.121,4691.8
IO2612,P,4000,203,261,5,48.8,-1.0,51.0,3,53.0,1,4892.121,4691.8
IO2612,P,4100,203,1131,12,70.4,5.4,65.6,1,70.2,1,4892.121,4691.8
IO2612,P,4200,203,560,9,87.4,3.0,87.4,1,89.0,1,4892.121,4691.8
IO2612,P,4300,203,670,19,114.0,6.2,109.2,1,114.0,1,4892.121,4691.8
IO2612,P,4400,203,833,87,145.6,8.2,136.4,1,144.4,1,4892.121,4691.8
IO2612,P,4500,203,723,13,182.6,8.4,172.8,1,179.8,1,4892.121,4691.8
IO2612,P,4600,203,768,138,221.2,4.4,216.0,1,222.0,1,4892.121,4691.8
IO2612,P,4700,203,354,44,265.2,1.8,265.2,1,270.6,1,4892.121,4691.8
IO2612,P,4800,203,262,90,327.0,8.0,316.8,1,330.8,1,4892.121,4691.8
IO2612,P,4900,203,161,17,389.6,10.6,379.4,1,393.8,1,4892.121,4691.8
IO2612,P,5000,203,196,8,457.8,9.4,447.8,1,461.4,1,4892.121,4691.8
IO2612,P,5200,203,240,25,608.6,11.4,587.8,1,625.0,1,4892.121,4691.8
IO2612,P,5400,203,378,5,739.2,-23.4,752.6,1,791.2,1,4892.121,4691.8
IO2612,P,5600,203,95,4,957.0,22.8,926.6,1,965.8,1,4892.121,4691.8
