ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
MO2608,C,6200,16,139,187,1284.8,211.8,1258.0,1,1306.0,1,7493.048,7478.2
MO2608,C,6300,16,79,36,1160.2,185.8,1158.6,1,1206.0,1,7493.048,7478.2
MO2608,C,6400,16,294,439,1082.2,203.4,1061.2,1,1100.0,2,7493.048,7478.2
MO2608,C,6500,16,240,200,989.0,205.2,977.6,1,998.0,1,7493.048,7478.2
MO2608,C,6600,16,392,174,883.2,186.6,879.2,1,900.6,1,7493.048,7478.2
MO2608,C,6700,16,633,272,791.8,185.2,791.8,4,804.6,1,7493.048,7478.2
MO2608,C,6800,16,977,717,700.4,186.2,700.4,2,709.6,1,7493.048,7478.2
MO2608,C,6900,16,1390,998,605.6,174.0,595.0,1,607.0,1,7493.048,7478.2
MO2608,C,7000,16,2806,4039,520.2,163.4,520.0,1,522.0,1,7493.048,7478.2
MO2608,C,7100,16,2763,4999,434.6,149.2,432.2,1,434.6,1,7493.048,7478.2
MO2608,C,7200,16,6659,12172,358.6,134.0,358.6,1,358.8,1,7493.048,7478.2
MO2608,C,7300,16,5884,14181,282.4,108.6,282.2,1,282.4,1,7493.048,7478.2
MO2608,C,7400,16,5357,17633,226.8,94.4,225.6,1,226.8,5,7493.048,7478.2
MO2608,C,7500,16,13214,43403,175.0,75.0,174.8,1,175.0,20,7493.048,7478.2
MO2608,C,7600,16,7051,22552,131.2,60.6,130.4,1,131.2,1,7493.048,7478.2
MO2608,C,7700,16,6703,17394,97.2,46.2,97.2,8,97.6,1,7493.048,7478.2
MO2608,C,7800,16,8168,16291,69.2,32.8,69.0,2,69.2,28,7493.048,7478.2
MO2608,C,7900,16,5159,9083,49.6,22.8,49.6,26,49.8,3,7493.048,7478.2
MO2608,C,8000,16,15100,20415,35.4,16.4,35.4,36,35.6,10,7493.048,7478.2
MO2608,C,8100,16,7130,5297,24.0,10.2,24.0,21,24.6,2,7493.048,7478.2
MO2608,C,8200,16,6996,4298,16.2,6.4,15.8,7,16.2,1,7493.048,7478.2
MO2608,C,8300,16,5125,3544,11.8,3.8,11.8,9,12.0,6,7493.048,7478.2
MO2608,C,8400,16,4761,3189,8.8,2.2,8.6,2,8.8,3,7493.048,7478.2
MO2608,C,8500,16,10617,3945,8.0,2.0,7.8,24,8.0,5,7493.048,7478.2
MO2608,C,8600,16,4656,1794,6.8,1.4,6.8,8,7.0,5,7493.048,7478.2
MO2608,C,8700,16,2789,988,5.2,0.6,5.2,1,5.4,3,7493.048,7478.2
MO2608,C,8800,16,2667,1294,4.2,0.4,4.0,25,4.2,1,7493.048,7478.2
MO2608,C,8900,16,1778,397,4.0,0.4,3.8,10,4.0,2,7493.048,7478.2
MO2608,C,9000,16,5298,1039,3.6,0.4,3.6,5,3.8,5,7493.048,7478.2
MO2608,C,9100,16,1409,299,3.2,0.4,3.0,12,3.2,2,7493.048,7478.2
MO2608,C,9200,16,1584,258,2.8,0.2,2.8,8,3.0,1,7493.048,7478.2
MO2608,C,9300,16,1258,207,2.6,0.0,2.6,11,2.8,2,7493.048,7478.2
MO2608,C,9400,16,1273,171,2.6,0.2,2.6,1,2.8,10,7493.048,7478.2
MO2608,C,9500,16,1397,290,1.8,0.0,1.8,3,2.0,4,7493.048,7478.2
MO2608,C,9600,16,1556,280,2.0,0.2,1.8,10,2.0,1,7493.048,7478.2
MO2608,C,9700,16,1202,179,1.8,0.0,1.8,1,2.0,11,7493.048,7478.2
MO2608,C,9800,16,4014,500,1.6,0.0,1.6,8,1.8,1,7493.048,7478.2
MO2608,P,6200,16,7977,5077,5.6,-5.0,5.6,4,5.8,7,7493.048,7478.2
MO2608,P,6300,16,2174,2073,5.6,-7.0,5.6,51,5.8,6,7493.048,7478.2
MO2608,P,6400,16,5511,3909,7.0,-9.0,7.0,7,7.2,10,7493.048,7478.2
MO2608,P,6500,16,3362,3444,7.4,-13.0,7.4,2,7.6,5,7493.048,7478.2
MO2608,P,6600,16,4010,4895,9.4,-17.0,9.2,11,9.4,6,7493.048,7478.2
MO2608,P,6700,16,3169,4845,12.6,-24.2,12.4,6,12.6,17,7493.048,7478.2
MO2608,P,6800,16,5357,8724,18.4,-31.4,18.2,6,18.4,3,7493.048,7478.2
MO2608,P,6900,16,5147,6999,25.8,-42.4,25.6,34,26.0,1,7493.048,7478.2
MO2608,P,7000,16,7331,17620,38.6,-52.2,38.4,3,38.6,4,7493.048,7478.2
MO2608,P,7100,16,4108,9321,55.4,-67.2,55.4,1,56.4,1,7493.048,7478.2
MO2608,P,7200,16,7442,19153,78.2,-83.2,78.0,31,78.2,5,7493.048,7478.2
MO2608,P,7300,16,3998,14954,110.0,-98.0,108.8,4,111.0,1,7493.048,7478.2
MO2608,P,7400,16,3656,13157,145.8,-122.8,145.0,1,146.0,1,7493.048,7478.2
MO2608,P,7500,16,4577,11022,195.0,-137.4,194.8,1,195.4,1,7493.048,7478.2
MO2608,P,7600,16,2204,3217,251.0,-154.6,250.6,2,251.6,1,7493.048,7478.2
MO2608,P,7700,16,1825,1582,314.2,-171.2,311.0,1,313.0,1,7493.048,7478.2
MO2608,P,7800,16,2405,987,388.0,-181.4,386.8,1,391.2,1,7493.048,7478.2
MO2608,P,7900,16,1780,441,470.6,-194.8,463.8,1,471.0,1,7493.048,7478.2
MO2608,P,8000,16,2947,931,553.8,-202.0,553.8,1,554.0,1,7493.048,7478.2
MO2608,P,8100,16,1220,468,644.0,-201.2,632.2,1,644.0,1,7493.048,7478.2
MO2608,P,8200,16,1191,568,734.0,-207.6,725.2,1,747.6,1,7493.048,7478.2
MO2608,P,8300,16,1178,328,851.2,-188.6,820.0,1,842.4,1,7493.048,7478.2
MO2608,P,8400,16,1247,334,960.4,-175.4,917.0,1,939.0,1,7493.048,7478.2
MO2608,P,8500,16,1540,312,1031.2,-209.0,1014.0,1,1038.0,1,7493.048,7478.2
MO2608,P,8600,16,878,91,1150.4,-187.6,1099.4,1,1147.4,1,7493.048,7478.2
MO2608,P,8700,16,597,96,1224.2,-208.6,1198.6,1,1246.6,1,7493.048,7478.2
MO2608,P,8800,16,434,19,1351.2,-181.2,1297.0,1,1344.6,1,7493.048,7478.2
MO2608,P,8900,16,341,25,1445.0,-187.0,1396.4,1,1444.4,1,7493.048,7478.2
MO2608,P,9000,16,912,35,1542.8,-189.0,1500.8,1,1546.8,1,7493.048,7478.2
MO2608,P,9100,16,420,33,1651.2,-180.4,1595.8,1,1643.8,1,7493.048,7478.2
MO2608,P,9200,16,292,28,1718.8,-212.6,1698.8,1,1746.2,1,7493.048,7478.2
MO2608,P,9300,16,209,21,1913.8,-117.6,1795.2,1,1842.6,1,7493.048,7478.2
